threshold,temperature,TP,FN,FP,TN,precision,recall,f1,accuracy
0.1,0.8,9,0,6,0,0.6,1.0,0.75,0.6
0.15,0.8,9,0,6,0,0.6,1.0,0.75,0.6
0.2,0.8,9,0,6,0,0.6,1.0,0.75,0.6
0.25,0.8,9,0,6,0,0.6,1.0,0.75,0.6
0.3,0.8,9,0,6,0,0.6,1.0,0.75,0.6
0.35,0.8,9,0,5,1,0.6429,1.0,0.7826,0.6667
0.4,0.8,9,0,3,3,0.75,1.0,0.8571,0.8
0.45,0.8,9,0,1,5,0.9,1.0,0.9474,0.9333
0.5,0.8,8,1,1,5,0.8889,0.8889,0.8889,0.8667
0.55,0.8,7,2,1,5,0.875,0.7778,0.8235,0.8
0.6,0.8,6,3,1,5,0.8571,0.6667,0.75,0.7333
0.65,0.8,5,4,1,5,0.8333,0.5556,0.6667,0.6667
0.7,0.8,1,8,0,6,1.0,0.1111,0.2,0.4667
0.75,0.8,0,9,0,6,0.0,0.0,0.0,0.4
0.8,0.8,0,9,0,6,0.0,0.0,0.0,0.4
0.85,0.8,0,9,0,6,0.0,0.0,0.0,0.4
0.9,0.8,0,9,0,6,0.0,0.0,0.0,0.4
0.1,1.0,9,0,6,0,0.6,1.0,0.75,0.6
0.15,1.0,9,0,6,0,0.6,1.0,0.75,0.6
0.2,1.0,9,0,6,0,0.6,1.0,0.75,0.6
0.25,1.0,9,0,6,0,0.6,1.0,0.75,0.6
0.3,1.0,9,0,6,0,0.6,1.0,0.75,0.6
0.35,1.0,9,0,6,0,0.6,1.0,0.75,0.6
0.4,1.0,9,0,4,2,0.6923,1.0,0.8182,0.7333
0.45,1.0,9,0,1,5,0.9,1.0,0.9474,0.9333
0.5,1.0,8,1,1,5,0.8889,0.8889,0.8889,0.8667
0.55,1.0,7,2,1,5,0.875,0.7778,0.8235,0.8
0.6,1.0,5,4,1,5,0.8333,0.5556,0.6667,0.6667
0.65,1.0,3,6,0,6,1.0,0.3333,0.5,0.6
0.7,1.0,0,9,0,6,0.0,0.0,0.0,0.4
0.75,1.0,0,9,0,6,0.0,0.0,0.0,0.4
0.8,1.0,0,9,0,6,0.0,0.0,0.0,0.4
0.85,1.0,0,9,0,6,0.0,0.0,0.0,0.4
0.9,1.0,0,9,0,6,0.0,0.0,0.0,0.4
0.1,1.2,9,0,6,0,0.6,1.0,0.75,0.6
0.15,1.2,9,0,6,0,0.6,1.0,0.75,0.6
0.2,1.2,9,0,6,0,0.6,1.0,0.75,0.6
0.25,1.2,9,0,6,0,0.6,1.0,0.75,0.6
0.3,1.2,9,0,6,0,0.6,1.0,0.75,0.6
0.35,1.2,9,0,6,0,0.6,1.0,0.75,0.6
0.4,1.2,9,0,5,1,0.6429,1.0,0.7826,0.6667
0.45,1.2,9,0,1,5,0.9,1.0,0.9474,0.9333
0.5,1.2,8,1,1,5,0.8889,0.8889,0.8889,0.8667
0.55,1.2,7,2,1,5,0.875,0.7778,0.8235,0.8
0.6,1.2,5,4,1,5,0.8333,0.5556,0.6667,0.6667
0.65,1.2,1,8,0,6,1.0,0.1111,0.2,0.4667
0.7,1.2,0,9,0,6,0.0,0.0,0.0,0.4
0.75,1.2,0,9,0,6,0.0,0.0,0.0,0.4
0.8,1.2,0,9,0,6,0.0,0.0,0.0,0.4
0.85,1.2,0,9,0,6,0.0,0.0,0.0,0.4
0.9,1.2,0,9,0,6,0.0,0.0,0.0,0.4
0.1,1.4,9,0,6,0,0.6,1.0,0.75,0.6
0.15,1.4,9,0,6,0,0.6,1.0,0.75,0.6
0.2,1.4,9,0,6,0,0.6,1.0,0.75,0.6
0.25,1.4,9,0,6,0,0.6,1.0,0.75,0.6
0.3,1.4,9,0,6,0,0.6,1.0,0.75,0.6
0.35,1.4,9,0,6,0,0.6,1.0,0.75,0.6
0.4,1.4,9,0,6,0,0.6,1.0,0.75,0.6
0.45,1.4,9,0,2,4,0.8182,1.0,0.9,0.8667
0.5,1.4,8,1,1,5,0.8889,0.8889,0.8889,0.8667
0.55,1.4,7,2,1,5,0.875,0.7778,0.8235,0.8
0.6,1.4,3,6,0,6,1.0,0.3333,0.5,0.6
0.65,1.4,0,9,0,6,0.0,0.0,0.0,0.4
0.7,1.4,0,9,0,6,0.0,0.0,0.0,0.4
0.75,1.4,0,9,0,6,0.0,0.0,0.0,0.4
0.8,1.4,0,9,0,6,0.0,0.0,0.0,0.4
0.85,1.4,0,9,0,6,0.0,0.0,0.0,0.4
0.9,1.4,0,9,0,6,0.0,0.0,0.0,0.4
0.1,1.6,9,0,6,0,0.6,1.0,0.75,0.6
0.15,1.6,9,0,6,0,0.6,1.0,0.75,0.6
0.2,1.6,9,0,6,0,0.6,1.0,0.75,0.6
0.25,1.6,9,0,6,0,0.6,1.0,0.75,0.6
0.3,1.6,9,0,6,0,0.6,1.0,0.75,0.6
0.35,1.6,9,0,6,0,0.6,1.0,0.75,0.6
0.4,1.6,9,0,6,0,0.6,1.0,0.75,0.6
0.45,1.6,9,0,3,3,0.75,1.0,0.8571,0.8
0.5,1.6,8,1,1,5,0.8889,0.8889,0.8889,0.8667
0.55,1.6,6,3,1,5,0.8571,0.6667,0.75,0.7333
0.6,1.6,2,7,0,6,1.0,0.2222,0.3636,0.5333
0.65,1.6,0,9,0,6,0.0,0.0,0.0,0.4
0.7,1.6,0,9,0,6,0.0,0.0,0.0,0.4
0.75,1.6,0,9,0,6,0.0,0.0,0.0,0.4
0.8,1.6,0,9,0,6,0.0,0.0,0.0,0.4
0.85,1.6,0,9,0,6,0.0,0.0,0.0,0.4
0.9,1.6,0,9,0,6,0.0,0.0,0.0,0.4
0.1,1.8,9,0,6,0,0.6,1.0,0.75,0.6
0.15,1.8,9,0,6,0,0.6,1.0,0.75,0.6
0.2,1.8,9,0,6,0,0.6,1.0,0.75,0.6
0.25,1.8,9,0,6,0,0.6,1.0,0.75,0.6
0.3,1.8,9,0,6,0,0.6,1.0,0.75,0.6
0.35,1.8,9,0,6,0,0.6,1.0,0.75,0.6
0.4,1.8,9,0,6,0,0.6,1.0,0.75,0.6
0.45,1.8,9,0,3,3,0.75,1.0,0.8571,0.8
0.5,1.8,8,1,1,5,0.8889,0.8889,0.8889,0.8667
0.55,1.8,6,3,1,5,0.8571,0.6667,0.75,0.7333
0.6,1.8,1,8,0,6,1.0,0.1111,0.2,0.4667
0.65,1.8,0,9,0,6,0.0,0.0,0.0,0.4
0.7,1.8,0,9,0,6,0.0,0.0,0.0,0.4
0.75,1.8,0,9,0,6,0.0,0.0,0.0,0.4
0.8,1.8,0,9,0,6,0.0,0.0,0.0,0.4
0.85,1.8,0,9,0,6,0.0,0.0,0.0,0.4
0.9,1.8,0,9,0,6,0.0,0.0,0.0,0.4
0.1,2.0,9,0,6,0,0.6,1.0,0.75,0.6
0.15,2.0,9,0,6,0,0.6,1.0,0.75,0.6
0.2,2.0,9,0,6,0,0.6,1.0,0.75,0.6
0.25,2.0,9,0,6,0,0.6,1.0,0.75,0.6
0.3,2.0,9,0,6,0,0.6,1.0,0.75,0.6
0.35,2.0,9,0,6,0,0.6,1.0,0.75,0.6
0.4,2.0,9,0,6,0,0.6,1.0,0.75,0.6
0.45,2.0,9,0,3,3,0.75,1.0,0.8571,0.8
0.5,2.0,8,1,1,5,0.8889,0.8889,0.8889,0.8667
